cd_municipio_7,regional_saude,nm_cidade,uf_municipio,nm_regiao,cidades_habitantes,id_singular,reg_ans
3139300,Januária,Manga,MG,Sudeste,19148,045,344451
3139409,Manhumirim,Manhuaçu,MG,Sudeste,97328,182,409791
3139508,Manhumirim,Manhumirim,MG,Sudeste,20939,182,409791
3139607,Governador Valadares,Mantena,MG,Sudeste,27350,045,344451
3139706,Sete Lagoas,Maravilhas,MG,Sudeste,7532,045,344451
3139805,Juiz de Fora,Mar de Espanha,MG,Sudeste,13180,042,327441
3139904,Pouso Alegre,Maria da Fé,MG,Sudeste,14567,041,419028
3140001,Belo Horizonte,Mariana,MG,Sudeste,64506,045,344451
3140100,Governador Valadares,Marilac,MG,Sudeste,4323,045,344451
3140159,Belo Horizonte,Mário Campos,MG,Sudeste,16705,009,344451
3140209,Juiz de Fora,Maripá de Minas,MG,Sudeste,3567,045,344451
3140308,Coronel Fabriciano,Marliéria,MG,Sudeste,4796,045,344451
3140407,Pouso Alegre,Marmelópolis,MG,Sudeste,3314,041,419028
3140506,Divinópolis,Martinho Campos,MG,Sudeste,14546,045,344451
3140530,Manhumirim,Martins Soares,MG,Sudeste,8797,045,344451
3140555,Pedra Azul,Mata Verde,MG,Sudeste,9532,045,344451
3140605,Diamantina,Materlândia,MG,Sudeste,3949,045,344451
3140704,Belo Horizonte,Mateus Leme,MG,Sudeste,40814,009,344451
3140803,Juiz de Fora,Matias Barbosa,MG,Sudeste,14547,042,327441
3140852,Montes Claros,Matias Cardoso,MG,Sudeste,8922,045,344451
3140902,Manhumirim,Matipó,MG,Sudeste,19115,045,344451
3141009,Montes Claros,Mato Verde,MG,Sudeste,12210,045,344451
3141108,Belo Horizonte,Matozinhos,MG,Sudeste,39529,009,344451
3141207,Patos de Minas,Matutina,MG,Sudeste,3912,045,344451
3141306,Divinópolis,Medeiros,MG,Sudeste,4068,045,344451
3141405,Pedra Azul,Medina,MG,Sudeste,20455,045,344451
3141504,Governador Valadares,Mendes Pimentel,MG,Sudeste,5614,045,344451
3141603,Ubá,Mercês,MG,Sudeste,10615,042,327441
3141702,Coronel Fabriciano,Mesquita,MG,Sudeste,4984,045,344451
3141801,Diamantina,Minas Novas,MG,Sudeste,23843,045,344451
3141900,Varginha,Minduri,MG,Sudeste,3811,045,344451
3142007,Januária,Mirabela,MG,Sudeste,14071,045,344451
3142106,Ubá,Miradouro,MG,Sudeste,8961,045,344451
3142205,Ubá,Miraí,MG,Sudeste,13921,127,401919
3142254,Januária,Miravânia,MG,Sudeste,3982,045,344451
